学院,课程号
通信与信息工程学院,A2010451
通信与信息工程学院,A2011340
光电工程学院,A2021001
光电工程学院,A2021110
光电工程学院,A2021110
光电工程学院,A2020390
经济管理学院,A1030070
经济管理学院,A1030010
软件工程学院,A2130010
软件工程学院,A2130010
软件工程学院,A2130590
软件工程学院,A2130200
经济管理学院,A2030270
计算机科学与技术学院,A1040010
计算机科学与技术学院,A1040010
计算机科学与技术学院,A1040040
计算机科学与技术学院,A1040040
计算机科学与技术学院,A1040080
外国语学院,A1050010
外国语学院,A1050040
外国语学院,A1050060
外国语学院,A1050080
外国语学院,A1050090
外国语学院,A1050110
生物信息学院,A2060620
网络空间安全与信息法学院,A2070390
网络空间安全与信息法学院,A2070280
网络空间安全与信息法学院,A2070160
自动化学院,A2080580
自动化学院,A2080580
自动化学院,A2081090
体育学院,A2090020
体育学院,A2090100
体育学院,A2090160
理学院,A1110010
理学院,A1110010
理学院,A1110140
理学院,A1110190
理学院,A1110230
理学院,A2110650
传媒艺术学院,A2120260
传媒艺术学院,A2120400
传媒艺术学院,A2120500
先进制造工程学院,A2140370
先进制造工程学院,A2140081
传媒艺术学院,A2120500
创新创业教育学院,B1220060
创新创业教育学院,B1220060
经济管理学院,A2030180
经济管理学院,A2030190
经济管理学院,A2030190
经济管理学院,A2030230
马克思主义学院,A1100020
马克思主义学院,A1100040
马克思主义学院,A1100040
传媒艺术学院,A2120350
传媒艺术学院,A2120360
传媒艺术学院,A2120560
国际学院,A2150020
国际学院,A2150060
