,0,1,2,3,4,5,6,7,8,9,10
通信与信息工程学院,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
光电工程学院,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0
经济管理学院,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,7.0
计算机科学与技术学院,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0
外国语学院,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
生物信息学院,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
网络空间安全与信息法学院,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0
自动化学院,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
体育学院,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
马克思主义学院,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
理学院,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0
传媒艺术学院,2.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,7.0,3.0,7.0
软件工程学院,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
先进制造工程学院,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
国际学院,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
创新创业教育学院,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
